Audio ID,Original text,Duration,Speaker ID,Transcription,WER
locutor4_audio_55121, —Te he perdonado —le aseguré acariciándole la barbilla—.,4.040272108843538,locutor4," Te he perdonado, le asegure a cariciándole la barbilla.",0.375
locutor4_audio_56236, —Tú nunca confiaste en mí.,1.7414965986394555,locutor4, Tú nunca confiaste en mí.,0.0
locutor4_audio_67617," Carmen vio el iris de sus ojos y una pequeña cicatriz en el labio inferior, fue uno de esos momentos que parecen contener toda la vida…",8.103764172335602,locutor4, Carmen vio el iris de sus ojos y una pequeña cicatriz en el labio inferior. Fue uno de esos momentos que parecen contener toda la vida.,0.0
locutor4_audio_70617, En el chaflán de Gran Vía con Muntaner la furgoneta se detuvo.,4.237641723356009,locutor4," En el chaflan de Gran Bía con Montaner, la furgoneta se detuvo.",0.25
locutor4_audio_65875_65876, Margaret Mead cuenta que en Borneo…,3.030204081632653,locutor4, Margarit Mith cuenta que es en Borneo.,0.5
locutor4_audio_28676, Juzgar la apariencia sin conocer el alma es la injusticia de la ignorancia.,4.098321995464852,locutor4, Judgar la apariencia sin conocer el alma es la injusticia de la ignorancia.,0.07692307692307693
locutor4_audio_32740_32741, —Estamos felices con este paisaje tan espectacular —dijeron casi al unísono las invitadas.,5.537959183673469,locutor4," Estamos felices con este paisaje tan espectacular, dijeron casi al unísono las invitadas.",0.0
locutor4_audio_72447, Silvia a todo decía que sí y daba las gracias.,3.633922902494331,locutor4," Silvia, a todo decía que sí, y daba las gracias.",0.0
locutor4_audio_57986, Deja la copa sobre la mesa y yo observo el agua ondear.,3.5874829931972787,locutor4, Deja la copa sobre la mesa y yo observo el agua donde har.,0.16666666666666666
locutor4_audio_79807," Por educación, por formalidad o cautela, no dejaba traslucir lo que deseaba.",5.189659863945578,locutor4," por educación, por formalidad o cautela, no dejaba traslucir lo que deseaba.",0.0
locutor4_audio_27800_27801," Si quieres, podemos llevarte —dijo la madre de los niños, dispuesta a socorrer a aquella chiquilla.",5.108390022675737,locutor4," Si quieres, podemos llevarte. Dijo la madre de los niños dispuesta a su carrera aquella chiquilla.",0.125
locutor4_audio_64111, Como todo él es.,1.6486167800453515,locutor4, como todo él es.,0.0
locutor4_audio_78962, De vez en cuando me saca de algún apuro tecnológico.,3.332063492063492,locutor4, De vez en cuando me saca de alguna puro tecnológico.,0.2
locutor4_audio_76139_76140," Habrá otra en la que nadie asocie esa silla y ese balcón a mi presencia, y esta casa a la vida que nosotros tenemos en ella.",8.289523809523809,locutor4," Habrá otra en la que nadie asocia esa silla y ese balcón a mi presencia, y esta casa a la vida que nosotros tenemos en ella.",0.038461538461538464
locutor4_audio_30485, Victoria volvió a utilizar la mímica para preguntar por la iglesia.,4.214421768707483,locutor4, Victoria volvió a utilizar la mímica para preguntar por la iglesia.,0.0
locutor5_audio_119207,¿Por qué no lo terminó?,1.18421768707483,locutor5, ¿Por qué no lo terminó?,0.0
locutor5_audio_99936_99937,"Por eso, que la hubiera dejado escapar era aún más imperdonable.",3.633922902494331,locutor5, Por eso que la hubiera dejado escapar era un más imperdonable.,0.09090909090909091
locutor5_audio_12839,cuartos de Champions.,1.4628571428571429,locutor5, cuartos de Champions.,0.0
locutor5_audio_53984,—El pensamiento fue un gruñido furioso—.,2.1710657596371883,locutor5, El pensamiento fue un grunido furioso.,0.16666666666666666
locutor5_audio_43643_43644_43645,"Envuelto en el Poder como estaba, la cólera se extendía como una telaraña alrededor del vacío, un fino encaje, pero ardiente—.",7.767074829931973,locutor5," Envuelto en el poder como estaba, la cólera se extendía como una telaraña alrededor del vacío. Un fino encaje, pero ardiente.",0.0
locutor5_audio_34451,No faltaban a la misa del primer día personas de los pueblos de alrededor.,4.017052154195011,locutor5, no faltaban a la misa del primer día personas de los pueblos de alrededor.,0.0
locutor5_audio_51836,Al alzar una mano hacia la frente se preguntó por qué le temblaba.,3.5874829931972787,locutor5," Al alzar una mano hacia la frente, se preguntó por qué le temblaba.",0.0
locutor5_audio_72303,¿O has aprendido por ti mismo?,1.474467120181406,locutor5, o has aprendido por tu mismo.,0.16666666666666666
locutor5_audio_90154,Todo esto me aburre.,1.0448979591836736,locutor5, Todo esto me aburre.,0.0
locutor5_audio_88992_88993_88994,"—Lamb sonrió, consiguiendo que su sonrisa resultase más siniestra que sus gruñidos a causa de sus ojos húmedos y amoratados—.",7.720634920634921,locutor5," Lamson Río, consiguiendo que sus sonrisa resultase más siniestra que sus gruñidos, a causa de sus ojos húmedos y amoratados.",0.15
locutor5_audio_15553,Vaya si le sirvió.,1.3815873015873017,locutor5, Vaya si les sirvió.,0.25
locutor5_audio_57868,¿Cuánto tiempo más te propones seguir con esta farsa?,2.681904761904762,locutor5, ¿Cuánto tiempo más te propone seguir con esta farsa?,0.1111111111111111
locutor5_audio_121895,"¿No te habrás hecho de alguna secta, testigo de Jehová o qué sé yo?",3.239183673469388,locutor5," No te habrás hecho de alguna secta, testigo de Geovao o qué sé yo.",0.07142857142857142
locutor5_audio_120467,—Pues es una mansión muy interesante.,1.811156462585034,locutor5, Pues es una mansión muy interesante.,0.0
locutor5_audio_18826,¿Te gusta saber que prácticamente puedes dominar físicamente a cualquier hombre con el que te cruces?,5.131609977324263,locutor5, ¿Te gusta saber que prácticamente puedes dominar físicamente a cualquier hombre con el que te cruces?,0.0
locutor5_audio_28927,"Si no la compramos, los terroristas la compran y emplean los pingües beneficios del tráfico de drogas para atacarnos.",6.1184580498866215,locutor5," Si no la compramos, los terroristas la compran y emplean los pincües beneficios del tráfico de drogas para atacarnos.",0.05263157894736842
locutor5_audio_97785_97786_97787_97788,"Como si su estructura y organización empresarial siguiesen asumiendo los costes de sus investigaciones, los encargos de cemento a Inglaterra «para probar», las construcciones que se derribaban para volverlas a construir de otra manera, todo lo que su entusiasmo y curiosidad generaban.",15.754739229024944,locutor5," como si su estructura y organización empresarial siguen asumiendo los costes de sus investigaciones, los encargos de cemento a Inglaterra para probar, las construcciones que se derribaban para volverlas a construir de otra manera, todo lo que su entusias muy curiosidad generaban.",0.07142857142857142
locutor5_audio_82537,Pues que lo hecho no se puede deshacer.,2.345215419501134,locutor5, Pues que lo he hecho no se puede deshacer.,0.125
locutor5_audio_3794,"Sobre su relación de amistad con Ferreras, pues yo qué sé.",2.7399546485260773,locutor5," sobre su relación de amistad con ferreras, pues yo que sé.",0.09090909090909091
locutor5_audio_90518_90519,"Si su frente perlada de sudor acusaba el esfuerzo que hacía, su rostro, en cambio, apenas enarcaba una ceja, como si resolviese una suma que se le resistía.",9.1718820861678,locutor5," Si su frente parlada de sudor acusaba el esfuerzo que hacía, su rostro en cambio apenas se narcaba una ceja, como si resolviese una suma que se la resistía.",0.14285714285714285
locutor3_audio_14429,"Dos etapas de altísima montaña, dos pruebas de fuego para ver quién es quién en esta carrera.",7.74,locutor3," Dos etapas de altísima montaña, dos pruebas de fuego para ver quién es quién en esta carrera.",0.0
locutor3_audio_7202,Pero solucionar el problema es menos importante que comprenderlo mediante la escucha empática.,6.12,locutor3, Pero solucionar el problema es menos importante que comprenderlo mediante la escucha empática.,0.0
locutor3_audio_7251,Responsabilidad.,1.62,locutor3, responsabilidad.,0.0
locutor3_audio_10745,"Pero, por encima de todo, la política monetaria y los estímulos del gobierno no garantizan las pensiones, que se recortaron de nuevo en dosmildiecisiete-dosmildieciocho debido a la insostenibilidad del sistema.",11.740045351473922,locutor3," Pero por encima de todo, la política monetaria y los estímulos del gobierno no garantizan las pensiones, que se recortaron de nuevo en 2017-2018 debido a la insostenibilidad del sistema.",0.03333333333333333
locutor3_audio_6538,Normalmente solo la familia o los amigos hacen ese tipo de cosas…,4.600045351473923,locutor3," Normalmente, solo la familia o los amigos hacen ese tipo de cosas.",0.0
locutor3_audio_11229,"Como dice siempre Kirk McCulloch (nota 207: nota 207, consejero delegado de He Chai. Fin de nota 207): hay una diferencia entre un unicornio y una burbuja.",14.420181405895692,locutor3," Como dice siempre Kid MacKulloch, nota 207, nota 207, consejero delegado de Heel Chai, fin de nota 207. Hay una diferencia entre un unicornio y una burbuja.",0.1111111111111111
locutor3_audio_996,No soporto el calor.,1.880181405895692,locutor3, No soporto el calor.,0.0
locutor3_audio_17280,"Realmente se estaba viviendo un momento de desarrollo económico, basado en la plena incorporación de España a las estructuras capitalistas occidentales tras la llegada de la democracia y (de forma no desdeñable) la renovación de infraestructuras de carácter público que se encontraban desfasadas con respecto a las de los países del entorno.",21.90018140589569,locutor3," Realmente, se estaba viviendo un momento de desarrollo económico, basado en la plena incorporación de España a las estructuras capitalistas occidentales, tras la llegada de la democracia y, de forma no desdeñable, la renovación de infraestructuras de carácter público que se encontraban desfasadas con respecto a las de los países del entorno.",0.0
locutor3_audio_16991,,9.44,locutor3," Hasta su compañero Indurain, el grandote que ya venció en Kotred, quedaba por delante de él en meta, igual que un lejarreta que parecía ir a más.",
locutor3_audio_4268,"Esta prueba deja fuera de toda duda el hecho de que las dos manos del paciente son dirigidas, por así decirlo, por dos cerebros distintos, uno de los cuales (el hemisferio derecho, con la mano izquierda por él inervada) domina con facilidad la concepción y reproducción de un conjunto, mientras que la mano derecha fracasa en el empeño.",21.40018140589569,locutor3," 4. Esta prueba deja fuera de toda duda el hecho de que las dos manos del paciente son dirigidas, por así decirlo, por dos cerebros distintos, uno de los cuales, el hemisferio derecho, con la mano izquierda por el innervada, domina con facilidad la concepción y reproducción de un conjunto, mientras que la mano derecha fracasa en el empeño.",0.05172413793103448
locutor3_audio_9253,"Así pues, veamos unos pocos objetivos básicos: ¿Cómo va a influir en los miembros de su equipo para que se sumen a las asambleas?",8.820226757369614,locutor3," Así pues, veamos unos pocos objetivos básicos. ¿Cómo va a influir en los miembros de su equipo para que se sumen a las asambleas?",0.0
locutor3_audio_8704,"Pero, si practicas mucho, se convierte en un hábito.",3.44,locutor3," Pero si prácticas mucho, se convierte en un hábito.",0.1111111111111111
locutor3_audio_14452,"En aquel entonces, distintos equipos colombianos, siempre amateurs, comienzan a aparecer en carreras como el Tour del Porvenir o la Dauphiné Libéré.",10.780045351473923,locutor3," En aquel entonces, distintos equipos colombianos, siempre a mater. Comienzan a aparecer en carreras como el Tour del Porvenir, Oladofín, Líbegué.",0.2727272727272727
locutor3_audio_3541,He visto a demasiados ricos sufrir por la angustia que les produce la incertidumbre.,6.46,locutor3," He visto, además, y a los ricos, sufrir por la angustia que les produce la incertidumbre.",0.21428571428571427
locutor3_audio_15992,"Una prueba vibrante, rodeada de una afición que llena cada día las carreteras españolas apoyando a los ciclistas.",8.34,locutor3," Una prueba vibrante, rodeada de una afición que llena cada día las carreteras españolas apoyando a los ciclistas.",0.0
locutor3_audio_17858,La Vuelta a España de milnovecientosnoventaycuatro iba a ser la última grande para Perico Delgado.,6.840045351473923,locutor3, La vuelta España de 1994 iba a ser la última grande para perico delgado.,0.13333333333333333
locutor3_audio_1503,Las chicas son muy maniáticas con la limpieza.,3.2401814058956915,locutor3, Las chicas son muy maniáticas con la limpieza.,0.0
locutor3_audio_9821,No soporto el calor.,1.5,locutor3, Buen EVA you,1.0
locutor3_audio_5234,"Los portadores de esta información serían, al principio, las terminaciones de estos gritos, las sílabas finales o sufijos. Por ejemplo, 'waí' podría indicar que había un tigre cerca y 'waú' que el tigre estaba más lejos.",15.220226757369614,locutor3," Los portadores de esta información serían al principio las terminaciones de estos gritos, las sílabas finales o sufijos. Por ejemplo, guay podría indicar que había un tigre cerca, y guayú, que el tigre estaba más lejos.",0.05555555555555555
locutor3_audio_3877,Esa es la diferencia entre un líder y un simple mandatario.,5.26,locutor3, Esa es la diferencia entre un líder y un simple mandatario.,0.0
locutor3_audio_5247,"Ahora bien, en los dos casos esta descripción depende, y es secundaria respecto, del precedente cumplimiento a un grupo de indicaciones. Referencia bibliográfica quince, página setenta y ocho.",12.480226757369614,locutor3," Ahora bien, en los dos casos, esta descripción depende, y es secundaria respecto del precedente cumplimiento a un grupo de indicaciones. Referencia bibliográfica a 15, página 78.",0.17857142857142858
locutor3_audio_14894,Una de esas que tendrían que recordarse años después como el ataque que había valido nada menos que un Tour de Francia…,8.14,locutor3," Una de esas que tendrían que recordarse años después, como el ataque que había valido nada menos que un tour de Francia.",0.0
locutor3_audio_8956,El empleado que nos atendió estaba visiblemente avergonzado por la irracionalidad de las tarifas.,6.440045351473923,locutor3, El empleado que nos atendió estaba visiblemente avergonzado por la irracionalidad de las tarifas.,0.0
locutor3_audio_7375,"Las opciones de menú tal vez sean muy útiles para la empresa a la hora de desviar las llamadas, pero a los clientes los vuelven locos.",8.860045351473923,locutor3," Las opciones de menú, tal vez sean muy útiles para la empresa a la hora de desviar las llamadas, pero a los clientes los vuelven locos.",0.0
locutor3_audio_15519,Ciertos rumores.,1.94,locutor3, Fierto rumores.,0.5
locutor3_audio_8167,Se les ocurre qué hacer por los clientes y por sus compañeros de trabajo.,4.360045351473923,locutor3, Se les ocurre y qué hacer por los clientes y por sus compañeros de trabajo.,0.07142857142857142
locutor3_audio_12232,"La trampa del banco central y la cobertura de riesgo. Al final de este libro, lo que intentaré mostrar es que tanto si el lector es un inversor exporádico o uno profesional, tenemos que acostumbrarnos a la idea de que creer que los bancos centrales estarán ahí para proteger a los ahorradores del riesgo no funciona. Puede que la política monetaria haya logrado ocultar la percepción de riesgo, pero ha enmascarado su acumuación, por lo que la volatilidad aumentará. Por definición, no tiene sentido encontrar refugio del riesgo sistémico invirtiendo en los mismos activos que están acumulando dicho riesgo sistémico. No lo olvides, las crisis financieras siempre tienen lugar debido a la acumulación de riesgo en activos que la opinión dominante consideraba que tenían poco o nada de riesgo.",50.64027210884354,locutor3," La trampa del Banco Central y la cobertura de riesgo. Al final de este libro, lo que intentaremos traer es que tanto si el lector es un inversor esporádico o uno profesional, tenemos que acostumbrarnos a la idea de que. Creer que los bancos centrales estarán ahí para proteger a los ahorradores del riesgo no funciona. Puede que la política monetaria haya logrado ocultar la percepción de riesgo, pero hay mascarado su acumulación, por lo que la volatilidad aumentará. Por definición no tiene sentido encontrar refugio del riesgo sistémico, inverniendo en los mismos activos que están acumulando dicho riesgo sistémico. No lo olvides. Las crisis financieras siempre tienen lugar debido a la acumulación de riesgo en activos que la opinión dominante consideraba que tenían poco nada de riesgo.",0.06201550387596899
locutor3_audio_8358,Las personas generosas crean oportunidades para que los demás coman toda la tarta que quieran.,6.260045351473923,locutor3, Las personas generosas crean oportunidades para que los demás coman toda la tarta que quieran.,0.0
locutor3_audio_9343,"La idea de que una inflación «moderada» es buena, es similar a la de pensar que tener un poco de fiebre es beneficioso.",7.2601814058956915,locutor3, La idea de que una inflación moderada es buena es similar a la de pensar que tener un poco de fiebre es beneficioso.,0.0
locutor3_audio_2860,cuarentayseis ME CUESTA MUCHO TOMAR DECISIONES Me cuesta un montón tomar decisiones.,8.420408163265305,locutor3, 46. Me cuesta mucho tomar decisiones. Me cuesta un montón tomar decisiones.,0.08333333333333333
locutor3_audio_10945,"Por otro lado, el problema de Grecia tampoco es un problema de solidaridad.",4.760045351473923,locutor3," Por otro lado, el problema de Grecia tampoco es un problema de solidaridad.",0.0
locutor3_audio_15142,"La organización, buscando el rendimiento publicitario que los duelos directos entre el trentino y el piamontés pudieran dar, comienza a programar recorridos favorables para sus estrellas.",12.140045351473924,locutor3," La organización, buscando el rendimiento publicitario que los duelos directos entre el trentino y el píamontés pudieran dar, comienza a programar recorridos favorables para sus estrellas.",0.038461538461538464
locutor3_audio_9728,Buena idea.,22.540090702947847,locutor3," Si analizamos la crisis de la euro zona, como explicaba antes, nunca existió un problema del liquidez, sino todo lo contrario. El BCE disponía de un exceso del liquidez de 120.000 millones de euros cuando se puso en marcha al programa de expansión cuantitativa, y España y otros países perifericos ya estaban recuperándose y creciendo por encima de la media de la Unión Europea.",32.0
locutor3_audio_14218,"El diecisiete de marzo de milnovecientosochentaysiete, cuarenta años desde que empezara en aquella aventura, Lévitan es convocado a la sede de la Société du Tour de France, en el histórico número diez del Faubourg Montmartre donde él mismo tiene su espacio de trabajo.",18.74009070294785,locutor3," El 17 de marzo de 1987, 40 años desde que empezara en aquella aventura, le bitan es convocado a la sede de la Societe y Dutu Dof Hans, en el histórico número 10 del Fabur Monmachto, donde él mismo tiene su espacio de trabajo.",0.3023255813953488
locutor3_audio_16810,"Un lugar señero, de esos que marcan de forma indeleble a quienes fundamentan allí sus mitos.",6.54,locutor3," Un lugar senero, de esos que marcan de forma indeleble a quienes fundamentan allí sus mitos.",0.0625
locutor3_audio_4592,"Como ya se ha dicho, su estructura es destacadamente primitiva",3.9,locutor3," Como ya se ha dicho, su estructura es destacadamente primitiva.",0.0
locutor3_audio_12109,"¿Puedes llegar a imaginar qué hubiera pasado en los mercados con la deuda china y una parada en seco, todo ello añadido a las crisis bancarias que hemos sufrido en la Unión Europea?",10.040045351473925,locutor3, ¿Puedes llegar a imaginar qué hubiera pasado en los mercados con la deuda china y una parada en seco? ¿Todo ello ha añadido a las crisis bancarias que hemos sufrido en la Unión Europea?,0.030303030303030304
locutor6_audio_7345," Por supuesto, el asunto no terminó ahí.",2.136235827664399,locutor6, Por supuesto el asunto no terminó ahí.,0.0
locutor6_audio_10209, Conoció a Mauricio y pronto se hicieron inseparables.,3.529433106575964,locutor6, Conocido a Mauricio y pronto se hicieron inseparables.,0.125
locutor6_audio_10264, —El anterior distribuidor.,1.6021768707482993,locutor6, El anterior distribuidor.,0.0
locutor6_audio_10267, Creo que se enteró de que seguíamos en la brecha por nuestra cuenta y decidió cortar por lo sano.,5.433469387755102,locutor6, creó que se enteró de que seguíamos en la brecha por nuestra cuenta y decidió cortar por los anos.,0.15789473684210525
locutor6_audio_27707, Miranda caminaba hacia nosotros.,2.3103854875283445,locutor6, Miranda caminaba hacia nosotros.,0.0
locutor6_audio_19465_19466_19467," Sin presentar temor en su conducta, lo abraza con firmeza entre sus brazos y lo baja desde el éter hasta el suelo, en tanto que la jovencita se curva hacia atrás en una postura rígida e imposible que vulnera todas las reglas físicas que conocemos sobre los cuerpos humanos.",17.403356009070293,locutor6," sin presentarte, moren su conducta, lo abrazas a confirmesa entre sus brazos, y lo baja desde el étero hasta el suelo, en tanto que la jovencita se curva hacia atrás, en una postura rígida e imposible que vulnera todas las reglas físicas que conocemos sobre los cuerpos humanos.",0.14285714285714285
locutor6_audio_1785_1786_1787," Mi debate interno es tremendo, cruel y dañino y es fácil de comprender.",5.526349206349207,locutor6," Me debate interno, extremendo, crué el idanino y es fácil de comprender.",0.46153846153846156
locutor6_audio_25558, —¿Amanda no está en casa?,1.869206349206349,locutor6, Amanda no está en casa?,0.0
locutor6_audio_21851_21852," Te recuerdo, desagradable y desagradecida chiquilla, que fui yo quien, jugándose la vida, te rescató de aquella asquerosa mazmorra en el taller de Zenón —le echo en cara escupiendo las palabras con todo mi desprecio—.",14.489251700680272,locutor6," que recuerdo desagradable y desagradecida chiquilla, que fue yo quien jugándose la vida, rescató de aquella asquerosa madmora en el taller de Cenón. Le he hecho en cara, escupiendo las palabras con todo mi desprecio.",0.2
locutor6_audio_20330_20331," Como se acuerda de mi hermano de anteriores ocasiones tabernarias, le mira de manera extraña al relacionarlo con la Unidad del crimen.",8.962902494331066,locutor6, ¿Cómo se acuerda de mi hermano de anteriores ocasiones tabernarias? Le mira de manera extraña a relacionarlo con la unidad del crimen.,0.09090909090909091
